arm,dedup_id,decision,rationale,auto_verdict,auto_reason,title,year,venue
update-2026,REC-036,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Novel Methodology and Modelling for the Calculation of the Ship’s Pivot Point Making Use of a Full-Mission Bridge Simulator,2026,Journal of Marine Science and Engineering
update-2026,REC-065,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Technological Bottlenecks in Fuels for Maritime Decarbonization,2026,Journal of Marine Science and Engineering
update-2026,REC-084,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Monitoring and service for ships from the perspective of the remote operations center,2026,Journal of Shipping and Trade
update-2026,REC-085,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Unbiased automated optimization of ship energy systems,2026,Ship Technology Research
update-2026,REC-086,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Hull Design Optimization and Ship Resistance Reduction: The Mediating Role of Hydrodynamic Performance and the Moderating Effect of Ship Speed Variation,2026,Information Technology Education Journal
update-2026,REC-181,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Committee V.8: Uncertainty Modelling in Waves and Wave Responses,2026,Lecture notes in mechanical engineering
update-2026,REC-213,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Fusing Prediction and Perception: Adaptive Kalman Filter-Driven Respiratory Gating for MR Surgical Navigation,2026,Sensors
update-2026,REC-219,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,FFRLS-MPC: An adaptive model predictive control method for robust ship course keeping,2026,Scientific Reports
update-2026,REC-226,KEEP,no inclusion signals on review,EXCLUDE,E1:collision avoidance,Dynamic Decision-Making and Adaptive Control for Autonomous Ships in Bridge-Restricted Waterways,2026,Applied Sciences
update-2026,REC-229,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Multi-Antenna GNSS Inversion Algorithm for Time-Varying Center-of-Rotation Estimation of Ships: A Six-Degree-of-Freedom Simulation Study,2026,Research Square
update-2026,REC-241,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Algorithmic Decision-Making Framework for Ship Modernization Strategy Using Nonlinear Multi-Parameter Optimization,2026,International Journal of Computer Theory and Engineering
update-2026,REC-255,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,MF-GCN: Multimodal Information Fusion Using Incremental Graph Convolutional Network for Ship Behavior Anomaly Detection,2026,Journal of Marine Science and Engineering
update-2026,REC-271,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Cross‐Sectional Studies: Strengths, Limitations, and Methodological Considerations",2026,Journal of Periodontal Research
update-2026,REC-274,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Comparison of In-Situ and Satellite Measurements of Sea Surface Salinity in Coastal Southern California,2026,
update-2026,REC-322,KEEP,no inclusion signals on review,EXCLUDE,E1:ship detection,Real-Time Intelligent Detection Algorithm for Ship Targets in High-Resolution Wide-Swath Sea Surface Images Captured by Airborne Cameras,2026,Italian National Conference on Sensors
update-2026,REC-324,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Cross-Control-Logic and Disturbance-Adaptive Line-Adhering Intelligent Navigation Framework for Autonomous Ships,2026,Journal of Marine Science and Engineering
update-2026,REC-331,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Identification of shipping signals with few-shot learning: A distribution-aware approach,2026,PLoS ONE
update-2026,REC-350,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,MUSE: Multi-Tenant Model Serving With Seamless Model Updates,2026,arXiv (Cornell University)
original,REC-186,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Dynamic Event-Triggered Disturbance Rejection Synchronous Tracking for Marine Vessels with Prescribed Performance*,2025,2025 Third International Conference on Cyber-Energy Systems and Intelligent Energy (ICCSIE)
original,REC-192,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Preparation of Papers for IFAC Conferences & Symposia: Designing a characteristic model-based adaptive path following controller for unmanned surface vehicles,2019,IFAC-PapersOnLine
original,REC-202,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Fault Diagnosis of Controllable Pitch Propeller as Few-Shot Classification with Mechanism Simulation Data Augmentation,2023,2023 IEEE 2nd Industrial Electronics Society Annual On-Line Conference (ONCON)
original,REC-203,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Wave Characterization for Tomorrow's Oceans,2024,Oceans
original,REC-206,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,"A Novel Architecture for Testing and Evaluating Programmable Logic Controller (PLC) Based Control Systems Using Software-in-the-Loop (SIL): A Naval Hull, Mechanical, and Electrical (HM&E) Subsystem Case Study",2024,2024 IEEE AUTOTESTCON
original,REC-211,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Robustness analysis of the next generation of EGR controllers in marine two-stroke diesel engines,2018,International Symposium on Computer Science and Society
original,REC-213,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,CDDM: Concept Drift Detection Model for Data Stream,2020,International Journal of Interactive Mobile Technologies
original,REC-318,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Advanced Development of Sensors’ Roles in Maritime-Based Industry and Research: From Field Monitoring to High-Risk Phenomenon Measurement,2021,Applied Sciences
original,REC-331,KEEP,no inclusion signals on review,EXCLUDE,E1:path planning,Secretary bird optimization algorithm: a new metaheuristic for solving global optimization problems,2024,Artificial Intelligence Review
original,REC-335,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Tiered prediction models for port vessel emissions inventories,2022,Flexible Services and Manufacturing Journal
original,REC-382,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A framework to model the STPA hierarchical control structure of an autonomous ship,2020,Safety Science
original,REC-387,KEEP,no inclusion signals on review,EXCLUDE,E1:route optimization,A Review on Motion Prediction for Intelligent Ship Navigation,2024,Journal of Marine Science and Engineering
original,REC-388,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Big maritime data for the Baltic Sea with a focus on the winter navigation system,2019,Marine Policy
original,REC-441,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Survey of data assimilation methods for convective‐scale numerical weather prediction at operational centres,2017,Quarterly Journal of the Royal Meteorological Society
original,REC-459,KEEP,no inclusion signals on review,EXCLUDE,E1:collision avoidance,A survey of formation control and motion planning of multiple unmanned vehicles,2018,Robotica
original,REC-461,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Combining GOSAT <i>X</i>CO<sub>2</sub> observations over land and ocean to improve regional CO<sub>2</sub> flux estimates,2016,Journal of Geophysical Research Atmospheres
original,REC-465,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Decadal changes in global surface NO <sub> <i>x</i> </sub> emissions from multi-constituent satellite data assimilation,2017,Atmospheric chemistry and physics
original,REC-466,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,The Multisensor Advanced Climatology of Liquid Water Path (MAC-LWP),2017,Journal of Climate
original,REC-473,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Optimum interpolation analysis of <scp>A</scp>quarius sea surface salinity,2015,Journal of Geophysical Research Oceans
original,REC-475,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Half a century of satellite remote sensing of sea-surface temperature,2019,Remote Sensing of Environment
original,REC-534,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Reduction of the model prediction error in vibration-based SHM applications,2024,11th European Workshop on Structural Health Monitoring Ewshm 2024
original,REC-552,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,The use of micro:bit in practical classes,2022,2022 26th International Conference on Information Technology (IT)
original,REC-557,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Correcting Biased Evaporation in CloudSat Warm Rain,2017,IEEE Transactions on Geoscience and Remote Sensing
